City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,Hotel name
72,Port Alfred,ZA,62.85,overcast clouds,-33.5906,26.891,,The Halyards Hotel
73,Busselton,AU,59.02,light rain,-33.65,115.3333,,Observatory Guest House
74,Ribeira Grande,PT,65.21,overcast clouds,38.5167,-28.7,,Quinta da Meia Eira
75,Bang Len,TH,88.99,overcast clouds,14.0219,100.1718,,สบายฟ้าอพาร์ทเม้นท์
76,Mar Del Plata,AR,42.94,scattered clouds,-38.0023,-57.5575,,Gran Hotel Mar del Plata
77,Sitka,US,53.49,overcast clouds,57.0531,-135.33,,Westmark Sitka
78,Mitu,CO,71.62,overcast clouds,1.1983,-70.1733,,
79,Senno,RU,48.15,clear sky,59.5336,33.9167,,
80,Agua Verde,MX,82.35,broken clouds,22.9,-106.05,,
81,Torbay,CA,59.77,scattered clouds,47.6666,-52.7314,,Gallows Cove
82,Lalmohan,BD,84.06,overcast clouds,22.3384,90.7419,,Arifur Rahman Miraj
83,Ketchikan,US,54.93,overcast clouds,55.3422,-131.6461,,Snow's Cove Lodge
84,Lebu,CL,48.22,heavy intensity rain,-37.6167,-73.65,,Hostal Las Lilas
85,Yatou,CN,72.01,heavy intensity rain,37.15,122.3833,,GreenTree Hotel Rongcheng Bus Station
86,Norman Wells,CA,75.24,few clouds,65.282,-126.8329,,Heritage Hotel
87,Sur,OM,85.53,scattered clouds,22.5667,59.5289,,Sur Plaza Hotel
88,Coquimbo,CL,58.73,scattered clouds,-29.9533,-71.3436,,Hotel San Juan
89,Barrow,US,42.82,overcast clouds,71.2906,-156.7887,,King Eider Inn
90,Margate,GB,61.3,few clouds,51.3813,1.3862,,Premier Inn Margate hotel
91,Cabo San Lucas,MX,90.61,scattered clouds,22.8909,-109.9124,,Hotel Tesoro Los Cabos
92,Clyde River,CA,34.03,light snow,70.4692,-68.5914,,Qamaq Hotel
93,Kodiak,US,59.31,clear sky,57.79,-152.4072,,Best Western Kodiak Inn And Convention Center
94,Tuatapere,NZ,49.19,broken clouds,-46.1333,167.6833,,Ron and Tony's Bed & Breakfast
95,Daokou,CN,85.33,overcast clouds,35.5639,114.5058,,Shangri-La Hotel
96,Georgetown,MY,82.89,few clouds,5.4112,100.3354,,Cititel Penang
97,Husavik,IS,39.18,overcast clouds,66.0449,-17.3389,,Bjarnabúð
98,Juneau,US,57.22,overcast clouds,58.3019,-134.4197,,"Baranof Downtown, BW Signature Collection"
99,Nikolskoye,RU,55.8,broken clouds,59.7035,30.7861,,Tourist House - Sablino
100,Tiarei,PF,78.82,broken clouds,-17.5333,-149.3333,,Le Rocher de Tahiti
101,Sheridan,US,74.91,clear sky,44.8333,-106.9173,,Comfort Inn & Suites
102,Marienburg,PL,54.88,clear sky,54.0359,19.0266,,Hotel Centrum Malbork
103,Severo-Kurilsk,RU,48.45,broken clouds,50.6789,156.125,,Kak Doma
104,Carnarvon,AU,69.55,clear sky,-24.8667,113.6333,,Hospitality Carnarvon
105,Dunedin,NZ,51.8,overcast clouds,-45.8742,170.5036,,Scenic Hotel Southern Cross
106,Baheri,IN,90.5,clear sky,28.7833,79.5,,Welcome Palace Marriage Hall
107,Junin,AR,37.8,broken clouds,-34.5838,-60.9433,,Hotel Copahue
108,Dikson,RU,37.81,light rain,73.5069,80.5464,,
109,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,,Shandrani Beachcomber Resort & Spa
110,Cherskiy,RU,55.54,light rain,68.75,161.3,,Gostinitsa
111,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,,Hotel Vitória Palace
112,Bluff,NZ,43.81,broken clouds,-46.6,168.3333,,Bluff Homestead - Guesthouse & Campervan Park
113,Kindu,CD,69.44,light rain,-2.95,25.95,,Résidence Okanda
114,Iuna,BR,59.9,clear sky,-20.3458,-41.5358,,Hotel São Judas Tadeu
115,Ugoofaaru,MV,82.89,broken clouds,5.6667,73.0,,Ungoofaaru Inn
116,Kavieng,PG,83.53,light rain,-2.5744,150.7967,,Nusa Island Retreat
117,Umm Bab,QA,89.08,clear sky,25.2142,50.8072,,
118,Codrington,AU,59.25,overcast clouds,-38.2667,141.9667,,Codrington Gardens Bed And Breakfast
119,Bijie,CN,70.05,moderate rain,27.3125,105.2942,,Four Points by Sheraton Bijie
120,Halifax,CA,55.69,clear sky,44.6453,-63.5724,,Hotel Halifax
121,Biloela,AU,71.01,clear sky,-24.4167,150.5,,Silo Motor Inn Biloela
122,Abu Zabad,SD,82.0,few clouds,12.35,29.25,,حامد محمد نور
123,Lamu,KE,77.56,scattered clouds,-2.2717,40.902,,Lamu House
124,Nicolas Bravo,MX,74.19,clear sky,18.45,-88.9167,,
125,Bara,NG,74.89,broken clouds,10.3744,10.7288,,
126,Nishihara,JP,87.85,few clouds,26.1842,127.7558,,Minshuku Agaihama
127,Port Lincoln,AU,63.46,clear sky,-34.7333,135.8667,,Port Lincoln Hotel
128,Cabras,IT,79.86,overcast clouds,39.93,8.5314,,Hotel Villa Canu
129,Garachine,PA,78.26,overcast clouds,8.0647,-78.3628,,
130,The Pas,CA,60.82,overcast clouds,53.8251,-101.2541,,Wescana Inn
131,Kutum,SD,79.88,few clouds,14.2,24.6667,,Dibbo areaمنطقة دبو
132,Pangnirtung,CA,45.79,clear sky,66.1451,-65.7125,,Kilabuk Lodge
133,Auki,SB,86.68,clear sky,-8.7676,160.7034,,Auki Motel
134,Hilo,US,85.28,overcast clouds,19.7297,-155.09,,Hilo Hawaiian Hotel
135,San Patricio,US,86.85,clear sky,28.017,-97.5169,,"Motel 6 Sinton, TX"
137,Mantua,IT,72.55,clear sky,45.1667,10.7833,,Hotel la Favorita
138,Kaitangata,NZ,46.26,broken clouds,-46.2817,169.8464,,Kaitangata Motor Camp
139,East London,ZA,62.04,overcast clouds,-33.0153,27.9116,,Tu Casa
140,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,,Inubosaki Kanko Hotel
141,Kahului,US,79.84,overcast clouds,20.8947,-156.47,,Maui Seaside Hotel
142,Raga,SS,70.48,broken clouds,8.4596,25.678,,
143,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,,Desert Palms Alice Springs
144,Amazar,RU,57.78,light rain,53.858,120.875,,Гостиничный Комплекс Уют
145,Yerbogachen,RU,72.75,scattered clouds,61.2767,108.0108,,
146,Tomatlan,MX,78.98,overcast clouds,19.9333,-105.25,,El Salvial
147,Atar,MR,90.54,clear sky,20.5169,-13.0499,,Oumou Elghoura
148,Bumba,CD,70.21,broken clouds,2.1833,22.4667,,Père Carlos
149,Neftcala,AZ,76.06,overcast clouds,39.3742,49.2472,,Otel restoran
150,Uhlove,UA,65.01,light rain,44.8215,33.6045,,Tavryda
151,Victoria,HK,88.32,scattered clouds,22.2855,114.1577,,Mini Central
152,Uglovskoye,RU,77.31,few clouds,51.3557,80.1942,,"""Premium"""
153,Ouango,CF,68.99,overcast clouds,4.3133,22.5552,,
154,Adrar,MR,88.05,clear sky,20.5022,-10.0711,,
155,Mattawa,US,87.8,few clouds,46.7379,-119.9028,,Sun & Sand Mobile Home Park
156,Deputatskiy,RU,48.47,few clouds,69.3,139.9,,Baza Otdykha
157,Saskylakh,RU,52.3,broken clouds,71.9167,114.0833,,
158,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,,Oyster Bay House Rental
159,Gamba,GA,67.82,clear sky,-2.65,10.0,,
160,Marondera,ZW,40.84,clear sky,-18.1853,31.5519,,HopeFay Conference Centre
161,Glenwood Springs,US,83.21,scattered clouds,39.5505,-107.3248,,Glenwood Springs Cedar Lodge
162,Anchorage,US,80.85,scattered clouds,61.2181,-149.9003,,Hotel Captain Cook
163,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,,Atlantis Hotel
164,Sandwick,GB,51.62,overcast clouds,60.0,-1.25,,Beach House Self-Catering Accomodation
165,Yebaishou,CN,80.51,clear sky,41.3975,119.6408,,Siji Home
166,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,,Airbnb rooms
